,price,rating_value,review_count,cover_type,paper_type,rating_ratio,book_name,will_read_count,now_reading_count,already_read_count,favourite_count,purchase_info,page_num
0,94.62,5.0,268.0,Karton Kapak,Kitap Kağıdı,,Atomik Alışkanlıklar,1616.0,271.0,869.0,21580.0,39005.0,352
1,12.9,5.0,121.0,Karton Kapak,Kitap Kağıdı,92.8,İrade Terbiyesi,487.0,70.0,374.0,5404.0,15536.0,232
2,78.12,4.0,6.0,Karton Kapak,Kitap Kağıdı,89.1,O An,75.0,13.0,34.0,686.0,2590.0,248
3,74.87,5.0,15.0,Karton Kapak,Kitap Kağıdı,97.0,Yaşadım Demek İçin Ne Yapmalı?,138.0,15.0,37.0,2415.0,2756.0,232
4,110.05,4.0,238.0,Karton Kapak,Kitap Kağıdı,89.4,Beden Dili  Eski FBI Ajanından İnsanların Bedenini Okuma Rehberi,479.0,66.0,418.0,7608.0,7845.0,300
5,79.3,5.0,28.0,Karton Kapak,Kitap Kağıdı,94.7,Sınırlar  Hayatınızı Kontrol Etmek İçin Ne Zaman Evet Nasıl Hayır Demelisiniz,104.0,26.0,63.0,2083.0,4789.0,312
6,237.05,5.0,29.0,Karton Kapak,Kitap Kağıdı,98.6,Hayatın Kaynağı,154.0,21.0,60.0,1886.0,2378.0,992
7,84.0,5.0,84.0,Karton Kapak,Kitap Kağıdı,97.4,Dervişin Teselli Koleksiyonu 2,296.0,44.0,153.0,3461.0,8653.0,248
8,101.5,5.0,2.0,Karton Kapak,Kitap Kağıdı,93.3,İyileştir Kalbini  Duygusal ve Manevi İyilik Rehberi,26.0,5.0,19.0,703.0,825.0,288
9,179.4,5.0,19.0,Karton Kapak,Kitap Kağıdı,95.5,Stoacının Günlüğü,112.0,8.0,44.0,1967.0,2665.0,432
10,84.0,5.0,5.0,Karton Kapak,Kitap Kağıdı,95.6,Bir Anne Değişiyor,24.0,4.0,10.0,319.0,597.0,440
11,108.75,5.0,422.0,Karton Kapak,Kitap Kağıdı,91.5,Etkili İnsanların 7 Alışkanlığı,848.0,123.0,684.0,13081.0,27257.0,472
12,63.25,4.0,17.0,Karton Kapak,Kitap Kağıdı,88.9,Rahatlama Kitabı  Suyun Üstünde Kalmamı Sağlayan Düşünceler,193.0,14.0,90.0,3328.0,3524.0,272
13,78.0,5.0,17.0,Karton Kapak,Kitap Kağıdı,100.0,Bütün Zorluklara Rağmen Yaşama Yeniden Tutunmak,42.0,10.0,18.0,603.0,933.0,176
14,84.0,5.0,34.0,Karton Kapak,Kitap Kağıdı,95.4,Anne Beni İyileştir,199.0,32.0,138.0,1877.0,7189.0,224
15,64.68,5.0,131.0,Karton Kapak,Kitap Kağıdı,95.3,Huşu Ağacı,144.0,14.0,291.0,1757.0,7397.0,208
16,56.1,5.0,2.0,Karton Kapak,Kitap Kağıdı,95.6,Yaşama Tutunmak İçin Nedenler,56.0,1.0,18.0,1316.0,947.0,264
17,179.4,4.0,136.0,Karton Kapak,Kitap Kağıdı,84.0,Dürtme,404.0,50.0,273.0,4579.0,10955.0,336
18,42.2,5.0,7.0,Karton Kapak,Kitap Kağıdı,91.1,Düşüncenin Gücü,28.0,2.0,32.0,801.0,1949.0,152
